Security,CO6 Comdty                                                      ,
Start Date,4/11/2003 0:00,
End Date,4/12/2023 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
8/14/2019,58.04,25422
8/13/2019,59.83,35973
8/12/2019,57.39,18204
8/9/2019,57.28,22865
8/8/2019,56.21,28473
8/7/2019,55.35,39943
8/6/2019,57.76,20149
8/5/2019,58.47,28704
8/2/2019,60.14,26749
8/1/2019,58.78,30489
7/31/2019,63.44,19863
7/30/2019,63.11,18555
7/29/2019,62.24,15361
7/26/2019,62.03,15467
7/25/2019,61.98,26125
7/24/2019,61.92,29009
7/23/2019,62.57,14555
7/22/2019,61.96,12122
7/19/2019,61.42,16789
7/18/2019,60.66,32224
7/17/2019,61.95,13439
7/16/2019,62.5,18101
7/15/2019,64.49,17138
7/12/2019,65.09,12361
7/11/2019,65.07,18813
7/10/2019,65.55,18211
7/9/2019,63.07,13636
7/8/2019,62.88,10130
7/5/2019,62.83,9069
