Date,result_5,result_10,pca_0,pca_1,pca_2,pca_3,pca_4,contago,contago_next,status_change,result_10_ma
2011-10-18,0.027913768076117895,0.05504835770402838,1.960152616211549,0.4992833364707016,-0.0460386760148797,-0.0592895725850641,0.0195730490435254,0,0.0,0,0.04626459160917586
2011-10-19,0.02639422676489045,0.05209179832326427,1.7261499216909135,0.3495983508957962,0.0523749373890564,-0.0750542727646236,0.0133050176968894,0,0.0,0,0.0491234697349312
2011-10-20,0.01905411739832208,0.03774517540681499,2.1370623872389127,0.3580887134790401,0.0421999410761162,-0.1067240750537437,0.0223547874890146,0,0.0,0,0.04859316034964487
2011-10-21,0.01901180592900875,0.037662163093335144,2.001955788785326,0.3547900454017942,0.0184764771171425,-0.1264493211426717,0.0199085804976016,0,0.0,0,0.04856274295423781
2011-10-24,0.01907438115848903,0.037784930300398756,2.118302190161007,0.3935569636127101,0.0344969406443539,-0.1298712334052301,0.0154137154172294,0,0.0,0,0.04406648496556831
2011-10-25,0.018983794693895106,0.037607204926810134,2.184466775895258,0.3683553342188594,-0.0117648188408215,-0.0577683318806367,0.0236557572228556,0,0.0,0,0.04057825441012466
2011-10-26,0.03958806379200164,0.0776089127892039,1.7707525819718724,0.2802261628438896,0.1324878218329713,-0.0620825335046292,0.0254715859996183,0,0.0,0,0.04568167730331259
2011-10-27,0.0189948442663046,0.037628884423909215,1.5607272756014523,0.0456351584260509,0.2062309536499831,-0.1207499137808125,0.0047335065500765,0,0.0,0,0.04565841910673143
2011-10-28,0.03146393478840315,0.061937890384437644,1.289651810585814,-0.0608237916224521,0.1046521468345575,-0.0981576418100213,0.0157848002415234,0,0.0,0,0.05051356456495193
2011-10-31,0.022915759433139726,0.04530638683588162,1.3572645515392154,0.0730993202616036,0.0823845325674091,-0.0836221196440422,0.0385563172564979,0,0.0,0,0.052017855872048505
2011-11-01,0.019106022463896144,0.03784700483340164,1.836459850004036,0.3911999700712344,0.0636445609544584,-0.1254155220066756,0.0225359155938711,0,0.0,0,0.0520658158533668
2011-11-02,0.019148015141678076,0.03792938379949051,1.8120536590591456,0.4538847238704541,0.0651694396226719,-0.1549358241865628,0.0250542427465871,0,0.0,0,0.044129910055424125
2011-11-03,0.018961843319872163,0.03756413513765633,1.741732428553772,0.4398310310847574,0.13640683991255,-0.1605111473198288,0.0110266847043183,0,0.0,0,0.04411696019817355
2011-11-04,0.0189721701765726,0.03758439711193695,1.7636123432803663,0.4486445246933423,0.2088785576495277,-0.1665752419371192,0.0074513455122964,0,0.0,0,0.03924626154367341
2011-11-07,0.0192299340990576,0.03809007783266116,2.0086953844702333,0.4737188104667316,0.2818980126240122,-0.1629386849524311,0.0125600429989589,0,0.0,0,0.03780299974302932
2011-11-08,0.01960827868095949,0.0388320727690894,1.8552321291879144,0.298629144903782,0.203378608559368,-0.1883586939632953,0.0096625866486089,0,0.0,0,0.03800001333016687
2011-11-09,0.02909724561316862,0.05734784152406425,1.5591640778586666,0.186938508513745,0.2154729313356081,-0.1654292282496295,0.0182330339248437,0,0.0,0,0.04188370487508162
2011-11-10,0.018951495911518457,0.03754383262575267,1.8519555656153712,0.2901787317557825,0.2476138810882378,-0.1498728115323587,0.0164581715195628,0,0.0,0,0.041879644372700885
2011-11-11,0.01904517274373352,0.037727626882628096,1.8050126392296368,0.3688704733420602,0.2872554359671951,-0.1800710099314651,0.0283326766722197,0,0.0,0,0.04190829032683911
2011-11-14,0.019254339446734825,0.0381379493059395,1.250043226889505,-0.0127856184209984,0.1260324843304679,-0.2124347812753275,0.0213776480891597,0,0.0,0,0.041917864621494785
2011-11-15,0.019181955882686452,0.03799596433388741,1.0565291590672965,-0.3404290611867357,-0.0330131079246957,-0.1734178185773275,0.029457395583188,0,0.0,0,0.041750642934454386
2011-11-16,0.020134328864196194,0.039863266529580166,1.117952670615355,-0.2707535465207634,0.1322569080847272,-0.1434855722254155,-0.056060639846717,0,0.0,0,0.03825372793555757
2011-11-17,0.019050837307783564,0.03773874021344037,0.742215050964742,-0.3056973050192959,0.0486452880970901,-0.1189061615890809,-0.046794888393636,0,0.0,0,0.03829270945309511
2011-11-18,0.019036830650817738,0.03771126038040751,0.8397062917841522,-0.3119335895633131,0.0225837977067161,-0.1091990125746857,-0.0473235560460729,0,0.0,0,0.03828943615265099
2011-11-21,0.019044090465977437,0.03772550355027926,0.7605154000622484,-0.2220470263622853,0.0949085930348916,-0.1290546507568517,-0.0503670714233832,0,0.0,0,0.03820694700151894
2011-11-22,0.019039821438934013,0.03771712807744132,0.9049956978412538,-0.0995538493951589,0.1183745080848917,-0.1846009161024857,-0.0534829803863351,0,0.0,0,0.038151179750229726
2011-11-23,0.01940181471079616,0.03842719900752112,0.8354786800899189,-0.1415217040500875,0.1231956887230185,-0.1764295273293548,-0.0488743124452434,0,0.0,0,0.037863966245817914
2011-11-24,0.019055652229055475,0.03774818657623724,1.0298105254197034,-0.0193374257297097,0.0879967066882075,-0.192617085678515,-0.0549636486642425,0,0.0,0,0.03786585551837729
2011-11-25,0.0200868840432622,0.03977028517595649,1.157160869984182,0.1257978601524817,0.0853270884535671,-0.2097527271594941,-0.0592192331274419,0,0.0,0,0.03827766047748708
2011-11-28,0.033814466334344706,0.06648551453521279,1.6381933878453383,0.3123862874540457,0.044561023505301,-0.2136151191151731,-0.0650715156190747,0,0.0,0,0.04402966267447379
