,start_5day,end_5day,start_end_5day,start_10day,end_10day,start_end_10day,start_30day,end_30day,start_end_30day,start_60day,end_60day,start_end_60day,pca_0,pca_1,pca_2,pca_3,pca_4,contago,contago_next,status_change
2020-03-09,0.014663288536569471,0.01234200061595916,0.027005289152528755,0.028930590726281923,0.024350701936563652,0.05328129266284565,0.08224952530722474,0.06922892429433214,0.15147844960155687,0.15204002004044692,0.12797115846897517,0.2800111785094219,-2.08101860864409,0.5184856025941165,-0.2801660106894315,0.0895872779135938,0.0144679525808332,1,1.0,0
2020-03-10,0.014939087515445286,0.012574963129912057,0.02751405064535728,0.029467140220395198,0.024803938087404224,0.054271078307799314,0.08369057127766232,0.07044646114093749,0.15413703241859977,0.15448132625716898,0.13003451381721912,0.28451584007438857,-2.040229712280581,0.2822697525222846,-0.238510307431986,0.0951941869527418,0.006067013872865,1,1.0,0
2020-03-11,0.012537105350454754,0.014905022841636278,0.02744212819209113,0.024730165848724565,0.029401020135746313,0.054131185984470864,0.07024694189356087,0.08351467457682665,0.15376161647038744,0.12969260044946598,0.15418799779172151,0.2838805982411876,-2.59015041410816,-0.1076155653302687,-0.2914586808266645,0.0531339481286414,0.0010675253430956,1,1.0,0
2020-03-12,0.016209826662718755,0.01890313830809599,0.03511296497081462,0.03185047824964649,0.03714253138294134,0.06899300963258792,0.08911066309417803,0.10391666883579544,0.19302733192997334,0.16102053264477617,0.18777458034316674,0.34879511298794275,-3.3003410549272783,-0.5101658244098227,-0.1322709517772575,0.1054613140617335,0.0102448184515796,1,1.0,0
2020-03-13,0.014095752397440122,0.011786434303540129,0.025882186700980192,0.027826675899638907,0.023267809913897194,0.05109448581353604,0.07928730422144362,0.06629760341708038,0.14558490763852383,0.14703157358090083,0.12294327636402966,0.2699748499449304,-2.901524316217498,-0.3116386822242292,-0.0165378347804812,0.1262854586936497,0.0020398246992348,1,1.0,0
2020-03-16,0.016366369202870015,0.01913287270751262,0.03549924191038256,0.03215174470621271,0.03758654293834069,0.06973828764455337,0.08988497897685375,0.1050787648600774,0.19496374383693094,0.16224564593767626,0.18967098032527352,0.3519166262629496,-3.259905338351581,-0.1805528158829799,0.0360208223704706,0.120529665848078,0.0052173559643025,1,1.0,0
2020-03-17,0.015233277715249832,0.01787786183349752,0.033111139548747115,0.02996216424628521,0.03516376728899289,0.0651259315352779,0.08415963229947653,0.09877022570800816,0.1829298580074843,0.152923955012448,0.17947242805188357,0.3323963830643315,-3.428351141642513,-0.1448011944872649,0.0807078571594588,0.067716178738232,-0.0114764456840606,1,1.0,0
2020-03-18,0.012256028750195198,0.014613678504773648,0.026869707254968844,0.024182741595764175,0.0288346917462058,0.053017433341969955,0.06876987813216262,0.08199890113833831,0.15076877927050125,0.12717140568775812,0.15163492805052703,0.27880633373828534,-3.646730762507608,-0.1868713454625567,0.0942504011115327,0.0367393584389528,-0.0099250545398156,1,1.0,0
2020-03-19,0.012701194177379475,0.015096650759691152,0.027797844937070604,0.025049322528500534,0.0297736471624953,0.05482296969099587,0.07110342002808559,0.08451358864313555,0.15561700867122097,0.13114193852510708,0.15587542542955624,0.2870173639546634,-3.3463852473332145,-0.4026923425463172,0.0922229412820802,0.0045655432715517,0.0015544476153713,1,1.0,0
2020-03-20,0.015729819500926993,0.013301876163912804,0.029031695664839763,0.031002975669240207,0.026217576307263502,0.057220551976503664,0.08778841454713097,0.07423801772571893,0.16202643227284974,0.16135278549030027,0.13644751430033097,0.2978002997906315,-3.4569489487255463,-0.6183898762107021,0.1150932604829912,0.0508416447386888,-0.0092636514285534,1,1.0,0
